"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 JX5)","2016-Apr-24 13:15 ±   00:03","6.71/0.01725","6.69/0.01718","6.95","6.92","453","27.0","4","APO*"
"(2016 JA)","2016-Apr-24 22:35 ±","2.89/0.00741","2.88/0.00740","7.41","7.36","1.08e+03","27.6","13","APO*"
"467351 (2003 KO2)","2016-Apr-25 00:21 ±","17.89/0.04598","17.89/0.04598","16.27","16.27","6.63e+05","20.5","57","ATE*"
"(2016 HX23)","2016-Apr-25 08:23 ±   00:18","2.93/0.00753","2.87/0.00738","13.87","13.85","107","27.0","3","APO*"
"(2016 FY3)","2016-Apr-25 11:48 ±","6.35/0.01632","6.35/0.01632","20.69","20.68","6.72e+05","21.3","35","APO*"
"(2016 HF19)","2016-Apr-28 00:11 ±   00:02","15.77/0.04053","15.75/0.04048","2.69","2.66","1.14e+03","26.5","24","ATE*"
"(2016 HY23)","2016-Apr-28 00:52 ±   00:03","6.55/0.01682","6.52/0.01676","7.30","7.28","517","26.9","2","AMO*"
"(2016 JU5)","2016-Apr-28 12:36 ±   00:02","5.50/0.01414","5.32/0.01366","18.80","18.79","69.4","26.1","2","APO*"
"(2016 JN38)","2016-Apr-30 02:27 ±   02:05","1.28/0.00329","1.15/0.00295","19.79","19.75","27.6","29.1","2","APO*"
"(2016 JY5)","2016-Apr-30 04:29 ±","2.88/0.00740","2.87/0.00738","6.42","6.37","1.16e+03","27.1","6","APO*"
"(2008 PR9)","2016-Apr-30 19:29 ±","15.23/0.03913","15.23/0.03912","14.09","14.09","1.19e+05","22.5","10","ATE*"
"(2016 FP12)","2016-Apr-30 21:40 ±","19.24/0.04944","19.18/0.04928","5.02","5.01","657","25.6","5","APO*"
"(2016 HK)","2016-May-01 01:28 ±","4.65/0.01195","4.65/0.01195","7.59","7.56","1.68e+05","24.8","13","ATE*"
"(2014 US115)","2016-May-01 01:55 ±   02:12","9.42/0.02420","7.42/0.01907","9.61","9.60","5.5e+03","24.6","9","APO*"
"(2016 HO2)","2016-May-01 07:41 ±","16.77/0.04308","16.71/0.04293","6.02","6.01","483","26.0","6","AMO*"
"(2016 JA6)","2016-May-02 03:45 ±","2.52/0.00648","2.52/0.00648","11.23","11.19","2.98e+03","26.3","15","APO*"
"(2016 HP6)","2016-May-02 03:54 ±","8.90/0.02286","8.88/0.02282","5.96","5.94","906","25.5","6","APO*"
"(2016 HD3)","2016-May-02 06:09 ±","2.19/0.00564","2.19/0.00564","6.89","6.82","2.05e+05","28.0","15","ATE*"
"(2016 JZ5)","2016-May-02 07:47 ±","3.04/0.00781","3.04/0.00780","7.82","7.78","1.69e+03","27.0","4","APO*"
"(2002 CX58)","2016-May-03 01:15 ±","19.00/0.04883","19.00/0.04883","11.62","11.61","8.77e+06","22.3","25","APO*"
"444584 (2006 UK)","2016-May-03 15:45 ±","17.81/0.04577","17.81/0.04577","16.22","16.22","6.33e+05","20.2","48","APO*"
"(2016 JX24)","2016-May-04 00:09 ±","3.91/0.01005","3.90/0.01003","6.02","5.97","620","25.4","6","ATE*"
"(2016 JB)","2016-May-04 10:29 ±","4.09/0.01052","4.09/0.01051","5.78","5.74","3.57e+03","27.1","12","ATE*"
"(2016 HN)","2016-May-04 21:33 ±","12.35/0.03174","12.35/0.03174","11.67","11.66","1.65e+05","22.6","17","APO*"
"388945 (2008 TZ3)","2016-May-05 10:39 ±","13.13/0.03373","13.13/0.03373","9.65","9.64","1.11e+06","20.4","81","APO*"
"(2016 JS5)","2016-May-05 22:47 ±","0.53/0.00136","0.53/0.00135","16.08","15.96","6.03e+03","30.7","3","APO*"
"(2016 JX11)","2016-May-07 02:48 ±","8.73/0.02243","8.71/0.02239","17.90","17.90","1.27e+03","24.9","4","APO*"
"(2016 JU28)","2016-May-07 10:48 ±","6.23/0.01600","6.19/0.01592","8.13","8.11","366","27.7","3","ATE*"
"(2014 JG55)","2016-May-08 00:32 ±   15:55","7.61/0.01956","0.82/0.00210","10.55","10.54","3.35","29.2","3","APO*"
